FID,peilmerk,x_rd,y_rd,nap_hoogte,pub_tekst,muurvlak,x_muur_cm,y_muur_cm,type,meetdatum,orde,geom
nappeilmerken.873,005H0182,171520.0,587120.0,1.662,BDR KRONENBURG KOUDEWG 18,Z,160.0,29.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (171520 587120)
nappeilmerken.874,005H0186,178480.0,579300.0,2.108,HS NR 10 RITSUMAZIJL,W,10.0,25.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (178480 579300)
nappeilmerken.875,005H0188,170490.0,575520.0,1.751,BR O/D BAIJUMERVAART IN BETONBALK,NO,25.0,-8.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (170490 575520)
nappeilmerken.876,005H0194,172200.0,577840.0,1.347,BDR HOOIDK 4,NO,-20.0,50.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (172200 577840)
nappeilmerken.877,005H0207,178370.0,578580.0,1.504,BDR MANSEMERDK 1,NO,497.0,49.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (178370 578580)
nappeilmerken.878,005H0215,177930.0,577300.0,1.237,BDR 'DE HOOP' PIJPSTERBUORREN 1,O,36.0,14.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (177930 577300)
nappeilmerken.879,005H0220,177810.0,577480.0,1.333,O BET RAND DR-BR PARALLELWG,O,787.0,-13.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (177810 577480)
nappeilmerken.880,005H0221,174460.0,582270.0,0.62,TRAFO BEETGUMERWG,ZO,30.0,25.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (174460 582270)
nappeilmerken.881,005H0229,178040.0,575620.0,0.83,HS BDR N-Z VAN AYLVALEANE 6,ZW,-88.0,10.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (178040 575620)
nappeilmerken.882,005H0231,175860.0,586770.0,1.158,HS BDR O-Z HAMERENWG 10,N,-76.0,20.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (175860 586770)
